scenario,variable,measure,unit,key,tenor,sector,year,value
adverse,commercial_property_prices,growth,pct,AS,,,2025,-13.662388615
adverse,commercial_property_prices,growth,pct,AS,,,2026,-15.692514714
adverse,commercial_property_prices,growth,pct,AS,,,2027,-10.509951174
baseline,commercial_property_prices,growth,pct,AS,,,2025,0.888806752
baseline,commercial_property_prices,growth,pct,AS,,,2026,-0.068226755
baseline,commercial_property_prices,growth,pct,AS,,,2027,0.387629135
adverse,commercial_property_prices,growth,pct,AT,,,2025,-12.363760422
adverse,commercial_property_prices,growth,pct,AT,,,2026,-15.688123934
adverse,commercial_property_prices,growth,pct,AT,,,2027,-9.141361650
baseline,commercial_property_prices,growth,pct,AT,,,2025,-0.380917079
baseline,commercial_property_prices,growth,pct,AT,,,2026,1.528012437
baseline,commercial_property_prices,growth,pct,AT,,,2027,2.670643560
adverse,commercial_property_prices,growth,pct,AU,,,2025,-10.014610807
adverse,commercial_property_prices,growth,pct,AU,,,2026,-13.299093626
adverse,commercial_property_prices,growth,pct,AU,,,2027,-6.418922394
baseline,commercial_property_prices,growth,pct,AU,,,2025,4.993713486
baseline,commercial_property_prices,growth,pct,AU,,,2026,3.651274988
baseline,commercial_property_prices,growth,pct,AU,,,2027,3.987220705
adverse,commercial_property_prices,growth,pct,BE,,,2025,-11.115094445
adverse,commercial_property_prices,growth,pct,BE,,,2026,-15.962017502
adverse,commercial_property_prices,growth,pct,BE,,,2027,-9.320197481
baseline,commercial_property_prices,growth,pct,BE,,,2025,0.747432203
baseline,commercial_property_prices,growth,pct,BE,,,2026,1.005540446
baseline,commercial_property_prices,growth,pct,BE,,,2027,1.549755839
adverse,commercial_property_prices,growth,pct,BG,,,2025,-6.851962728
adverse,commercial_property_prices,growth,pct,BG,,,2026,-17.069638018
adverse,commercial_property_prices,growth,pct,BG,,,2027,-12.270794991
baseline,commercial_property_prices,growth,pct,BG,,,2025,5.159655884
baseline,commercial_property_prices,growth,pct,BG,,,2026,1.705054622
baseline,commercial_property_prices,growth,pct,BG,,,2027,1.279241673
adverse,commercial_property_prices,growth,pct,BR,,,2025,-15.572579965
adverse,commercial_property_prices,growth,pct,BR,,,2026,-15.821239965
adverse,commercial_property_prices,growth,pct,BR,,,2027,-10.864957154
baseline,commercial_property_prices,growth,pct,BR,,,2025,2.976445804
baseline,commercial_property_prices,growth,pct,BR,,,2026,0.878886714
baseline,commercial_property_prices,growth,pct,BR,,,2027,1.307831379
adverse,commercial_property_prices,growth,pct,CA,,,2025,-13.959737457
adverse,commercial_property_prices,growth,pct,CA,,,2026,-17.654213466
adverse,commercial_property_prices,growth,pct,CA,,,2027,-6.351085069
baseline,commercial_property_prices,growth,pct,CA,,,2025,4.482173724
baseline,commercial_property_prices,growth,pct,CA,,,2026,4.032112282
baseline,commercial_property_prices,growth,pct,CA,,,2027,3.928637303
adverse,commercial_property_prices,growth,pct,CH,,,2025,-11.311566681
adverse,commercial_property_prices,growth,pct,CH,,,2026,-14.509875608
adverse,commercial_property_prices,growth,pct,CH,,,2027,-8.701661547
baseline,commercial_property_prices,growth,pct,CH,,,2025,4.530653457
baseline,commercial_property_prices,growth,pct,CH,,,2026,4.108980377
